Symbol
AAPL
MSFT
NVDA
GOOG
GOOGL
AMZN
TSM
AVGO
TSLA
JPM
WMT
UNH
V
XOM
NVO
MA
PG
JNJ
ORCL
HD
ABBV
BAC
KO
MRK
CVX
CRM
AMD
ADBE
TM
PEP
TMO
NVS
TMUS
ACN
MCD
DHR
ABT
QCOM
PDD
WFC
PM
TXN
AXP
AMGN
BABA
VZ
ISRG
AMAT
PFE
MS
DIS
BX
NEE
RY
HSBC
GS
SPGI
CMCSA
UBER
UL
HDB
UNP
PGR
SNY
LOW
BHP
LMT
SYK
TJX
COP
VRTX
NKE
MU
ETN
C
BSX
SCHW
PLD
ANET
ADI
UPS
MMC
CB
MDT
ADP
BA
BUD
SBUX
KKR
TD
AMT
DE
BMY
IBN
UBS
HCA
SHOP
CI
SO
MDLZ
GILD
INFY
ICE
BP
INTC
SHW
MO
DUK
SNPS
ENB
CL
RACE
WM
ZTS
GD
SCCO
APH
BTI
DELL
RIO
CDNS
CNQ
CME
PH
NOC
CVS
EQNR
PYPL
ITW
DEO
EOG
CMG
MCK
FDX
MMM
PNC
USB
SPOT
TGT
CSX
CRWD
NXPI
EPD
BMO
MAR
FCX
SLB
CARR
WDAY
APD
MRVL
CEG
EMR
NEM
AFL
DHI
FTNT
MPC
NTES
PSX
NSC
COF
WMB
ADSK
O
HLT
SPG
GM
OXY
SU
HMC
MET
OKE
GEV
PCAR
CM
CPRT
TTD
CHTR
TRV
ROST
DLR
KMB
KDP
BK
CCI
LEN
ALL
AIG
D
JCI
MFC
KMI
MNST
VLO
PAYX
STZ
LHX
MCHP
HUM
MPLX
SE
FIS
KHC
HES
EW
KVUE
CMI
CNC
RCL
AEM
A
PRU
NDAQ
HSY
PEG
SQ
EA
PWR
DDOG
GIS
YUM
JD
GEHC
FAST
SYY
EXC
KR
CTSH
OTIS
DOW
IR
ALNY
GOLD
GLW
ED
HPQ
NUE
DFS
VICI
XEL
MRNA
RMD
EL
LULU
HIG
ON
IRM
BCE
LYB
TRGP
LVS
BIIB
ZS
DXCM
PPG
WEC
ADM
WPM
EBAY
GPN
STM
K
DVN
FITB
HAL
VST
TTWO
NTAP
DG
CAH
DAL
PHM
BIDU
ETR
TECK
HUBS
IFF
FE
VTR
TROW
FNV
ROL
FSLR
PPL
NTR
GDDY
ZBH
LYV
TSN
WST
FTS
CBOE
DLTR
ILMN
WDC
CMS
GPC
CVNA
OMC
CLX
MDB
BAX
CFG
DRI
SPY
BBY
STLD
BMRN
EXPE
ULTA
VRSN
NRG
IP
LUV
ENPH
TS
UTHR
AKAM
DPZ
SWK
CAG
EQT
NTRA
CF
UAL
XPO
QQQ
NTNX
PODD
YUMC
Z
FLEX
DVA
ZTO
JBL
MGM
MGA
CHRW
NICE
EXAS
CCK
ALB
FN
CELH
HRB
TPR
GME
HAS
GNRC
PAYC
ELF
OLED
LW
MTZ
KBR
AR
TPX
AA
MOS
X
WAL
YPF
WYNN
CROX
FMC
DBX
EXEL
VKTX
CRS
PLNT
CYTK
VNO
LSCC
VRNS
ERJ
ETSY
W
OLN
RH
RUN
TSEM
FIVE
IWM
ALK
AEO
SHAK
CNX
GGAL
PBF
LITE
HUN
TEX
TGTX
ACLS
CCOI
YETI
HP
CAR
EAT
FL
ARWR
BTU
TNDM
CEIX
CRTO
INSW
FIVN
SBLK
ASPN
SIMO
TRUP
PZZA
STAA
CAL
SEDG
HELE
